kind,name,destination,latitude,longitude,problem,googleMapsUrl,howToFix,ref
toạ độ bị cảnh báo,Hoa Tien Paradise Villa,Hà Tĩnh,18.624256,105.813797,cách tâm Hà Tĩnh 34 km,https://www.google.com/maps/search/?api=1&query=18.624256%2C105.813797,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:8810409
toạ độ bị cảnh báo,Vedana Lagoon Wellness Resort & Spa,Đà Nẵng,16.287516,107.859573,cách tâm Đà Nẵng 45 km,https://www.google.com/maps/search/?api=1&query=16.287516%2C107.859573,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",agoda:hotel:vedana-lagoon-wellness-resort-spa:hue
toạ độ bị cảnh báo,Khách sạn Mường Thanh Grand Hà Tĩnh (Muong Thanh Grand Ha Tinh Hotel),Hà Tĩnh,18.057621,106.348244,cách tâm Hà Tĩnh 56 km,https://www.google.com/maps/search/?api=1&query=18.057621%2C106.348244,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",agoda:hotel:muong-thanh-grand-ha-tinh-hotel:ha-tinh
toạ độ bị cảnh báo,Khách sạn Mường Thanh Luxury Xuân Thành (Muong Thanh Luxury Xuan Thanh Hotel),Hà Tĩnh,18.630156,105.811562,cách tâm Hà Tĩnh 34 km,https://www.google.com/maps/search/?api=1&query=18.630156%2C105.811562,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",agoda:hotel:muong-thanh-luxury-xuan-thanh-hotel:cua-lo-beach
toạ độ bị cảnh báo,Khách sạn Polaris (Polaris Hotel),Hà Tĩnh,18.043734,106.37365,cách tâm Hà Tĩnh 59 km,https://www.google.com/maps/search/?api=1&query=18.043734%2C106.373650,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",agoda:hotel:polaris-hotel:ha-tinh
toạ độ bị cảnh báo,VinWonders Nam Hội An,Đà Nẵng,15.785995,108.407642,cách tâm Đà Nẵng 38 km,https://www.google.com/maps/search/?api=1&query=15.785995%2C108.407642,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:50961574
toạ độ bị cảnh báo,Mỹ Sơn,Đà Nẵng,15.768782,108.119315,cách tâm Đà Nẵng 35 km,https://www.google.com/maps/search/?api=1&query=15.768782%2C108.119315,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:84706
toạ độ bị cảnh báo,Đồi cát Du lịch Hòa Thắng,Đà Lạt,11.070942,108.427653,cách tâm Đà Lạt 97 km,https://www.google.com/maps/search/?api=1&query=11.070942%2C108.427653,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:98753
toạ độ bị cảnh báo,Mũi Kê Gà,Đà Lạt,10.695261,107.99156,cách tâm Đà Lạt 147 km,https://www.google.com/maps/search/?api=1&query=10.695261%2C107.991560,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:137170972
toạ độ bị cảnh báo,Hải Vân Quan,Huế,16.187738,108.131294,cách tâm Huế 66 km,https://www.google.com/maps/search/?api=1&query=16.187738%2C108.131294,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:137069029
toạ độ bị cảnh báo,Đèo Hải Vân,Huế,16.2,108.133333,cách tâm Huế 65 km,https://www.google.com/maps/search/?api=1&query=16.200000%2C108.133333,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:96727
toạ độ bị cảnh báo,Khu Lưu niệm Đại thi hào Nguyễn Du,Hà Tĩnh,18.664999,105.76681,cách tâm Hà Tĩnh 39 km,https://www.google.com/maps/search/?api=1&query=18.664999%2C105.766810,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:142729334
toạ độ bị cảnh báo,Đền Chợ Củi - Thờ Quan Hoàng Mười,Hà Tĩnh,18.60487,105.691334,cách tâm Hà Tĩnh 37 km,https://www.google.com/maps/search/?api=1&query=18.604870%2C105.691334,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:151026800
vé Vinpearl chưa khớp địa điểm,(không có nhà cung cấp),Đà Nẵng,,,2 vé không có toạ độ,,"collectors/venues.csv: thêm địa điểm, hoặc thêm alias vào địa điểm có sẵn",
địa điểm Vinpearl tự tìm (nên xem nhanh),VinWonders Nha Trang,Nha Trang,12.217396,109.241218,kết quả: VinWonders (tourism=theme_park),https://www.google.com/maps/search/?api=1&query=12.217396%2C109.241218,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinwonders-nha-trang
địa điểm Vinpearl tự tìm (nên xem nhanh),Hòn Tằm,Nha Trang,12.174724,109.244738,kết quả: Hòn Tằm (place=island),https://www.google.com/maps/search/?api=1&query=12.174724%2C109.244738,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",hon-tam
địa điểm Vinpearl tự tìm (nên xem nhanh),Aquafield Nha Trang,Nha Trang,12.2146,109.240943,kết quả: Aquafield (leisure=sauna),https://www.google.com/maps/search/?api=1&query=12.214600%2C109.240943,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",aquafield-nha-trang
địa điểm Vinpearl tự tìm (nên xem nhanh),Vinpearl Golf Nha Trang,Nha Trang,12.212541,109.259051,kết quả: Vinpearl Golf Nha Trang (leisure=golf_course),https://www.google.com/maps/search/?api=1&query=12.212541%2C109.259051,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinpearl-golf-nha-trang
địa điểm Vinpearl tự tìm (nên xem nhanh),VinWonders Phú Quốc,Phú Quốc,10.338401,103.854675,kết quả: VinWonders Phú Quốc (tourism=theme_park),https://www.google.com/maps/search/?api=1&query=10.338401%2C103.854675,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinwonders-phu-quoc
địa điểm Vinpearl tự tìm (nên xem nhanh),Vinpearl Safari Phú Quốc,Phú Quốc,10.339396,103.895011,kết quả: Vinpearl Safari (tourism=zoo),https://www.google.com/maps/search/?api=1&query=10.339396%2C103.895011,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinpearl-safari-phu-quoc
địa điểm Vinpearl tự tìm (nên xem nhanh),Grand World Phú Quốc,Phú Quốc,10.32494,103.858138,kết quả: Grand World Phú Quốc (landuse=retail),https://www.google.com/maps/search/?api=1&query=10.324940%2C103.858138,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",grand-world-phu-quoc
địa điểm Vinpearl tự tìm (nên xem nhanh),VinWonders Nam Hội An,Hội An,15.78878,108.410788,kết quả: VinWonders Nam Hội An (tourism=theme_park),https://www.google.com/maps/search/?api=1&query=15.788780%2C108.410788,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinwonders-nam-hoi-an
địa điểm Vinpearl tự tìm (nên xem nhanh),Vinpearl Golf Nam Hội An,Hội An,15.794018,108.412279,kết quả: Vin Pearl Golf Course (leisure=golf_course),https://www.google.com/maps/search/?api=1&query=15.794018%2C108.412279,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinpearl-golf-nam-hoi-an
địa điểm Vinpearl tự tìm (nên xem nhanh),VinWonders Cửa Hội,Nghệ An,18.77433,105.751423,kết quả: VinWonder Cửa Hội (tourism=theme_park),https://www.google.com/maps/search/?api=1&query=18.774330%2C105.751423,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinwonders-cua-hoi
địa điểm Vinpearl tự tìm (nên xem nhanh),VinWonders Vũ Yên,Hải Phòng,20.871999,106.749463,kết quả: VinWonders Vũ Yên (tourism=theme_park),https://www.google.com/maps/search/?api=1&query=20.871999%2C106.749463,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinwonders-vu-yen
địa điểm Vinpearl tự tìm (nên xem nhanh),Học viện cưỡi ngựa Vinpearl Vũ Yên,Hải Phòng,20.873214,106.746369,kết quả: Học viện cưỡi ngựa Vinpearl Vũ Yên (leisure=horse_riding),https://www.google.com/maps/search/?api=1&query=20.873214%2C106.746369,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinpearl-horse-academy-vu-yen
địa điểm Vinpearl tự tìm (nên xem nhanh),Vinpearl Golf Hải Phòng,Hải Phòng,20.870558,106.733208,kết quả: Vinpearl Golf Haiphong (leisure=golf_course),https://www.google.com/maps/search/?api=1&query=20.870558%2C106.733208,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinpearl-golf-hai-phong
địa điểm Vinpearl tự tìm (nên xem nhanh),Aquafield Ocean City,Hà Nội,20.951601,105.975044,kết quả: Aquafield Ocean City (shop=beauty),https://www.google.com/maps/search/?api=1&query=20.951601%2C105.975044,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",aquafield-ocean-city
địa điểm Vinpearl tự tìm (nên xem nhanh),Mega Grand World Hà Nội,Hà Nội,20.955442,105.979967,kết quả: Mega Grand World Hà Nội (landuse=retail),https://www.google.com/maps/search/?api=1&query=20.955442%2C105.979967,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",grand-world-ha-noi
địa điểm Vinpearl tự tìm (nên xem nhanh),VinKE & Vinpearl Aquarium Times City,Hà Nội,20.996372,105.867893,kết quả: Vinpearl Aquarium Times City (tourism=aquarium),https://www.google.com/maps/search/?api=1&query=20.996372%2C105.867893,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",vinke-vinpearl-aquarium
địa điểm Vinpearl tự tìm (nên xem nhanh),Công viên Grand Park,TP. Hồ Chí Minh,10.839941,106.84728,kết quả: Công viên nước Grand Park (leisure=water_park),https://www.google.com/maps/search/?api=1&query=10.839941%2C106.847280,"đúng: đặt status=ok · sai: sửa latitude, longitude, source=manual, status=ok",cong-vien-grand-park
